chapterId,title,moduleId,effectiveOrder,sourceKind,sourcePath,prerequisiteChapterIds,conceptIds,wordCount,exercises,quizzes,projects,resources,declaredAuditStatus,depthReviewed,resourcesAuditedForRelevance,dependenciesValidated,status,flags
"terminal-shell-fundamentos","Terminal e shell — antes de instalar qualquer coisa","orientation","0","legacy-html-generated-metadata","platform/public/content/chapters/terminal-shell-fundamentos.html","","terminal-terminal-emulator-e-shell-nao-sao-a-mesma-coisa|onde-voce-esta-diretorio-atual-home-e-caminhos|arquivos-criar-copiar-mover-apagar-ler|buscando-coisas-grep-e-find|path-como-o-shell-acha-o-programa-que-voce-pediu|quoting-por-que-espacos-quebram-comandos|redirecionamento-mandando-saida-para-um-arquivo|pipes-conectando-um-comando-ao-outro|composicao-de-comandos-e-exit-status|variaveis-de-ambiente|permissoes-quem-pode-executar-o-que|processos-em-execucao","2525","1","1","0","2","approved","true","true","true","aprovado",""
"intro","Introdução & ambiente","orientation","1","legacy-html-generated-metadata","platform/public/content/chapters/intro.html","","jdk-jre-e-jvm-o-que-cada-um-faz|do-codigo-fonte-ao-programa-rodando|verifique-o-ambiente-antes-de-programar","872","1","1","0","2","approved","false","true","true","aprovado",""
"primeiro-programa","Primeiro programa: escrever, compilar e executar","orientation","2","legacy-html-generated-metadata","platform/public/content/chapters/primeiro-programa.html","intro","o-menor-programa-tradicional|terminal-sem-magica|leitura-de-uma-mensagem-do-compilador|um-exemplo-de-cada-categoria-de-erro|argumentos-de-linha-de-comando","1035","1","1","0","2","approved","false","true","true","aprovado",""
"variaveis-tipos","Variáveis, tipos, memória e conversões","programming-fundamentals","3","legacy-html-generated-metadata","platform/public/content/chapters/variaveis-tipos.html","primeiro-programa","primitivos|valor-primitivo-versus-referencia|literais-e-sufixos|overflow-quando-o-tipo-nao-cabe-o-valor|divisao-inteira-e-promocao-numerica|var-nao-e-tipagem-dinamica|conversao-e-perda","992","1","1","0","2","approved","false","true","true","aprovado",""
"operadores-expressoes","Operadores, expressões e precedência","programming-fundamentals","4","legacy-html-generated-metadata","platform/public/content/chapters/operadores-expressoes.html","variaveis-tipos","curto-circuito|nao-e-igualdade-de-conteudo-para-objetos|incremento-decremento-e-atribuicao-composta|precedencia-e-associatividade","710","1","1","0","2","approved","false","true","true","aprovado",""
"controle-fluxo","Decisões: if, else e switch","programming-fundamentals","5","legacy-html-generated-metadata","platform/public/content/chapters/controle-fluxo.html","operadores-expressoes","switch-como-expressao|switch-statement-classico-e-o-perigo-do-fall-through|guard-clauses-reduzindo-piramides-de-if","671","1","1","0","2","approved","false","true","true","aprovado",""
"lacos-repeticao","Repetição: while, for e controle de laços","programming-fundamentals","6","legacy-html-generated-metadata","platform/public/content/chapters/lacos-repeticao.html","controle-fluxo","erros-de-fronteira-off-by-one|break-e-continue-nao-sao-a-mesma-coisa|lacos-aninhados","679","1","1","0","2","approved","false","true","true","aprovado",""
"arrays-matrizes","Arrays, matrizes e raciocínio por índice","programming-fundamentals","7","legacy-html-generated-metadata","platform/public/content/chapters/arrays-matrizes.html","lacos-repeticao","copia-rasa-e-mutabilidade|valores-default-e-arrays-de-referencias|passagem-para-metodo-e-retorno|arrays-utility-class-pare-de-reinventar|matrizes-sao-arrays-de-arrays","1115","2","1","0","2","approved","false","true","true","aprovado",""
"strings-wrapper","String, imutabilidade e classes wrapper","programming-fundamentals","8","legacy-html-generated-metadata","platform/public/content/chapters/strings-wrapper.html","arrays-matrizes","metodos-de-consulta-mais-usados|concatenacao-repetida|text-blocks-java-15|wrappers-e-autoboxing","872","2","1","0","2","approved","false","true","true","aprovado",""
"metodos-escopo","Métodos, parâmetros, retorno e escopo","programming-fundamentals","9","legacy-html-generated-metadata","platform/public/content/chapters/metodos-escopo.html","strings-wrapper","java-passa-tudo-por-valor|escopo-e-tempo-de-vida|sobrecarga-overload|varargs","825","2","1","0","2","approved","false","true","true","aprovado",""
"entrada-console","Entrada pelo console, parsing e validação","programming-fundamentals","10","legacy-html-generated-metadata","platform/public/content/chapters/entrada-console.html","metodos-escopo","antes-do-codigo-o-que-e-um-programa-de-console|camada-1-seu-primeiro-uso-de-scanner|camada-2-linha-token-e-buffer|camada-3-ler-normalizar-converter-e-validar|camada-4-quando-a-entrada-termina|aprofundamento-dinheiro-e-formato-regional|depois-do-scanner-arquivos-sockets-e-protocolos|uma-previa-nao-um-pre-requisito","1634","1","1","0","2","approved","false","true","true","aprovado",""
"logica-programacao","Lógica de Programação & Pensamento Algorítmico","programming-fundamentals","11","legacy-html-generated-metadata","platform/public/content/chapters/logica-programacao.html","metodos-escopo","o-habito-central-decompor-antes-de-codificar|estruturas-de-controle-como-blocos-de-raciocinio|rastreamento-manual-dry-run-depurando-sem-executar","986","1","1","0","2","approved","false","true","true","aprovado",""
"mini-caixa-eletronico","Mini-projeto: caixa eletrônico no terminal","programming-fundamentals","12","legacy-html-generated-metadata","platform/public/content/chapters/mini-caixa-eletronico.html","entrada-console|logica-programacao","requisitos|casos-de-teste-manuais|checkpoint-antes-de-concluir|execucao-guiada-e-evidencias","544","0","1","1","2","approved","false","true","true","aprovado",""
"classes","Classes e objetos","oop-modeling","13","legacy-html-generated-metadata","platform/public/content/chapters/classes.html","mini-caixa-eletronico","modelo-mental-objeto-referencia-e-memoria","878","2","1","0","2","approved","false","true","true","aprovado",""
"atributos","Atributos e métodos","oop-modeling","14","legacy-html-generated-metadata","platform/public/content/chapters/atributos.html","classes","passagem-de-parametros-sempre-por-valor|sobrecarga-de-metodos-overload-e-como-o-compilador-escolhe","1042","2","1","0","2","approved","false","true","true","aprovado",""
"construtores","Construtores","oop-modeling","15","legacy-html-generated-metadata","platform/public/content/chapters/construtores.html","atributos","sobrecarga-de-construtores-e-encadeamento-com-this|construtor-padrao-quando-ele-existe","901","2","1","0","2","approved","false","true","true","aprovado",""
"encapsulamento","Encapsulamento","oop-modeling","16","legacy-html-generated-metadata","platform/public/content/chapters/encapsulamento.html","construtores","os-quatro-niveis-de-acesso-em-java|encapsulamento-nao-e-so-botar-getters-e-setters|imutabilidade-o-encapsulamento-levado-ao-extremo|o-vazamento-mais-comum-expor-um-array-ou-outro-objeto-mutavel-interno-po","1316","2","2","0","2","approved","false","true","true","aprovado",""
"static","static, final e this","oop-modeling","17","legacy-html-generated-metadata","platform/public/content/chapters/static.html","encapsulamento","static-pertence-a-classe-nao-ao-objeto|final-nao-pode-mudar-depois-de-definido|this-referencia-ao-proprio-objeto","798","2","1","0","2","approved","false","true","true","aprovado",""
"heranca","Herança","oop-modeling","18","legacy-html-generated-metadata","platform/public/content/chapters/heranca.html","static","toda-classe-herda-de-object-mesmo-sem-dizer|heranca-multinivel-e-a-cadeia-de-super","879","2","1","0","2","approved","false","true","true","aprovado",""
"polimorfismo","Polimorfismo","oop-modeling","19","legacy-html-generated-metadata","platform/public/content/chapters/polimorfismo.html","heranca","binding-estatico-e-dinamico-mecanismos-diferentes|downcasting-e-instanceof","962","2","1","0","2","approved","false","true","true","aprovado",""
"abstracao","Classes abstratas","oop-modeling","20","legacy-html-generated-metadata","platform/public/content/chapters/abstracao.html","polimorfismo","uma-classe-abstrata-pode-ter-construtor","807","2","1","0","2","approved","false","true","true","aprovado",""
"interfaces","Interfaces","oop-modeling","21","legacy-html-generated-metadata","platform/public/content/chapters/interfaces.html","abstracao","metodos-default-static-e-private-java-8|interface-vs-classe-abstrata-quando-usar-cada-uma","800","2","1","0","2","approved","false","true","true","aprovado",""
"mini-biblioteca-cli","Mini-projeto: biblioteca orientada a objetos","oop-modeling","24","legacy-html-generated-metadata","platform/public/content/chapters/mini-biblioteca-cli.html","associacoes-cardinalidade","antes-de-programar-escreva-o-contrato|entregaveis|sequencia-segura-de-implementacao|checkpoint-antes-de-concluir|execucao-guiada-e-evidencias","670","0","1","1","2","approved","false","true","true","aprovado",""
"pacotes","Pacotes & organização de projeto","java-core","25","legacy-html-generated-metadata","platform/public/content/chapters/pacotes.html","mini-biblioteca-cli","nome-qualificado-e-import|compilacao-de-dois-pacotes-sem-ferramenta-de-build|visibilidade-dentro-do-pacote|convencao-de-nomes","750","1","1","0","2","approved","false","true","true","aprovado",""
"excecoes","Exceções","java-core","26","legacy-html-generated-metadata","platform/public/content/chapters/excecoes.html","pacotes","a-hierarquia-completa|try-catch-finally-try-with-resources|encadeamento-de-excecoes-exception-chaining","1093","2","1","0","2","approved","false","true","true","aprovado",""
"colecoes","Coleções & ArrayList","java-core","27","legacy-html-generated-metadata","platform/public/content/chapters/colecoes.html","excecoes","a-hierarquia-por-tras-das-tres-interfaces|list-e-arraylist|igualdade-e-hashing-antes-de-set-e-map|set-sem-duplicatas|queue-e-deque-filas-em-duas-variacoes|map-pares-chave-valor|comparable-vs-comparator-dois-jeitos-de-ordenar","2082","4","1","0","2","approved","false","true","true","aprovado",""
"generics","Generics","java-core","28","legacy-html-generated-metadata","platform/public/content/chapters/generics.html","colecoes","por-que-generics-existem|classe-generica-propria|metodo-generico|bounded-types-limitando-quais-tipos-sao-aceitos|generics-sao-invariantes-list-object-nao-e-list-string|multiplos-bounds|varargs-genericos-e-heap-pollution|por-que-new-t-e-new-t-10-nao-compilam|wildcards-extends-e-super","1665","3","1","0","2","approved","false","true","true","aprovado",""
"javamoderno","Java moderno: Optional, var, Date/Time","java-core","30","legacy-html-generated-metadata","platform/public/content/chapters/javamoderno.html","streams","optional-ausencia-explicita-no-retorno|a-api-completa-do-optional-metodo-a-metodo|var-inferencia-de-tipo-local|java-time-datas-modernas|records-e-text-blocks","1107","1","1","0","2","approved","false","true","true","aprovado",""
"java-21-profundo","Java 21: records, sealed types, pattern matching e virtual threads","java-core","33","legacy-html-generated-metadata","platform/public/content/chapters/java-21-profundo.html","jvm-profundo","primeiro-contato-com-os-quatro-recursos|records-como-portadores-de-dados-imutaveis|hierarquias-seladas-e-pattern-matching|virtual-threads-primeiro-o-caso-minimo|muitas-tarefas-independentes-sem-pool-de-virtual-threads","947","1","1","0","2","approved","false","true","true","aprovado",""
"streams","Lambdas & Streams","java-core","29","legacy-html-generated-metadata","platform/public/content/chapters/streams.html","generics","interfaces-funcionais-e-lambdas|captura-de-variaveis-lambda-precisa-de-effectively-final|as-interfaces-funcionais-prontas-do-java-util-function|method-references-lambdas-ainda-mais-curtas|streams-pipeline-de-processamento-de-dados|mais-operacoes-intermediarias-distinct-limit-skip-takewhile-dropwhile|consultas-curto-circuito-anymatch-allmatch-nonematch-findfirst-findany|map-flatmap-e-cardinalidade|reduce-a-operacao-mais-generica|collectors-avancados-partitioningby-e-tomap|parallelstream-nem-sempre-mais-rapido","1893","3","1","0","2","approved","false","true","true","aprovado",""
"java-io","Arquivos, Paths e Java I/O","io-cli-serialization","34","legacy-html-generated-metadata","platform/public/content/chapters/java-io.html","java-21-profundo","path-nao-e-so-uma-string|bytes-caracteres-e-codificacao|texto-pequeno-versus-fluxo-de-dados|falhas-de-i-o-precisam-de-politica|escrita-segura-de-saida|pratica","811","1","1","0","2","approved","false","true","true","aprovado",""
"mini-analisador-vendas","Mini-projeto: analisador de vendas com Streams","io-cli-serialization","35","legacy-html-generated-metadata","platform/public/content/chapters/mini-analisador-vendas.html","java-io","formato-de-entrada|sequencia-de-implementacao|consultas-obrigatorias|saida-esperada|checkpoint-antes-de-concluir|execucao-guiada-e-evidencias","718","0","2","0","2","approved","false","true","true","aprovado",""
"big-o","Complexidade de Algoritmos (Big O)","algorithms-data-structures","40","legacy-html-generated-metadata","platform/public/content/chapters/big-o.html","zenith-cli-inicial","as-complexidades-mais-comuns-da-melhor-para-a-pior|complexidade-de-espaco-nao-so-de-tempo","868","1","1","0","2","approved","false","true","true","aprovado",""
"recursao","Recursão","algorithms-data-structures","41","legacy-html-generated-metadata","platform/public/content/chapters/recursao.html","big-o","os-dois-ingredientes-obrigatorios-de-toda-recursao|visualizando-a-pilha-de-chamadas|recursao-vs-iteracao-quando-cada-uma-vence","1164","2","1","0","2","approved","false","true","true","aprovado",""
"ordenacao-busca","Algoritmos de Ordenação & Busca","algorithms-data-structures","42","legacy-html-generated-metadata","platform/public/content/chapters/ordenacao-busca.html","recursao","busca-binaria-a-aplicacao-direta-da-arvore-do-capitulo-anterior|merge-sort-dividir-para-conquistar-o-n-log-n","841","1","1","0","2","approved","false","true","true","aprovado",""
"algoritmos-praticos","Estruturas e algoritmos essenciais na prática","algorithms-data-structures","43","legacy-html-generated-metadata","platform/public/content/chapters/algoritmos-praticos.html","ordenacao-busca","como-ler-custos-e-estruturas|busca-em-grafos|padroes-de-resolucao|benchmark-sem-autoengano","737","1","1","0","2","approved","false","true","true","aprovado",""
"git","Git & fluxo de trabalho","testing-engineering","45","legacy-html-generated-metadata","platform/public/content/chapters/git.html","zenith-cli-inicial","o-ciclo-basico-working-directory-staging-commit|branches-trabalhando-em-paralelo-sem-quebrar-o-principal|o-modelo-mental-completo-working-tree-staging-commit-branch-remote|remoto-clone-fetch-pull-e-push|desfazendo-mudancas-restore-revert-e-reset|guardando-trabalho-em-progresso-stash|reflog-a-rede-de-seguranca-contra-eu-perdi-meu-commit|tags-marcando-um-ponto-especifico-do-historico|detached-head-quando-voce-nao-esta-em-cima-de-nenhum-branch|pull-request-a-unidade-social-do-trabalho-em-equipe|merge-vs-rebase","1957","2","1","0","2","approved","false","true","true","aprovado",""
"build","Maven & Gradle","testing-engineering","46","legacy-html-generated-metadata","platform/public/content/chapters/build.html","git","maven-configuracao-declarativa-em-xml|gradle-configuracao-em-codigo-groovy-kotlin-dsl|configurations-do-gradle-implementation-api-compileonly-runtimeonly|grafo-de-tasks-e-cache-incremental|estrutura-padrao-de-diretorios-maven-e-gradle-compartilham-a-convencao|lifecycle-phase-e-goal-maven|dependencias-transitivas-exclusoes-e-dependencymanagement|maven-wrapper-build-reproduzivel-sem-funciona-na-minha-maquina|escopos-de-dependencia-maven-e-por-que-importam","1759","2","1","0","2","approved","false","true","true","aprovado",""
"anotacoes","Anotações & Reflection","application-design","65","legacy-html-generated-metadata","platform/public/content/chapters/anotacoes.html","build","criando-sua-propria-anotacao|reflection-inspecionando-classes-em-tempo-de-execucao|aprofundando-em-reflection-o-mapa-completo-da-api|anotacoes-padrao-mais-usadas-fora-do-spring","1581","2","1","0","2","approved","false","true","true","aprovado",""
"json","JSON & serialização","io-cli-serialization","36","legacy-html-generated-metadata","platform/public/content/chapters/json.html","mini-analisador-vendas","objeto-java-dto-e-json-nao-sao-a-mesma-coisa|de-json-para-dto-java-desserializacao|jackson-com-classes-javabeans|controlando-o-contrato-com-anotacoes|records-e-json|campos-desconhecidos-o-json-de-entrada-nem-sempre-bate-100-com-o-dto|ausente-nao-e-o-mesmo-que-null|datas-java-time-precisa-do-modulo-certo|colecoes-genericas-o-problema-do-type-erasure-na-desserializacao|tratando-erros-de-des-serializacao","1591","2","1","0","2","approved","false","true","true","aprovado",""
"logging","Logging & configuração externa","testing-engineering","48","legacy-html-generated-metadata","platform/public/content/chapters/logging.html","debugging","por-que-nao-usar-system-out-println-em-producao|niveis-de-log-do-mais-ao-menos-verboso|configuracao-externa-por-que-nada-de-senha-hardcoded","708","1","1","0","2","approved","false","true","true","aprovado",""
"mini-importador-pedidos","Mini-projeto: importador de pedidos","io-cli-serialization","38","legacy-html-generated-metadata","platform/public/content/chapters/mini-importador-pedidos.html","process-api-cli|json","contrato-de-entrada|arquitetura-minima|requisitos|formato-do-relatorio-json|checkpoint-antes-de-concluir|execucao-guiada-e-evidencias","698","0","2","0","2","approved","false","true","true","aprovado",""
"solid","SOLID & boas práticas","application-design","66","legacy-html-generated-metadata","platform/public/content/chapters/solid.html","interfaces|abstracao","composicao-sobre-heranca","1081","1","1","0","2","approved","false","true","true","aprovado",""
"di","Injeção de dependência (na mão)","application-design","67","legacy-html-generated-metadata","platform/public/content/chapters/di.html","javamoderno|solid|anotacoes","o-problema-acoplamento-a-implementacoes-concretas|a-solucao-inverter-quem-cria-a-dependencia|um-container-de-di-simples-feito-a-mao|os-tres-tipos-de-injecao","963","1","1","0","2","approved","false","true","true","aprovado",""
"padroes","Padrões de projeto essenciais","application-design","68","legacy-html-generated-metadata","platform/public/content/chapters/padroes.html","di","padroes-de-projeto-essenciais","772","1","1","0","2","approved","false","true","true","aprovado",""
"clean-code","Clean Code & Refatoração","application-design","69","legacy-html-generated-metadata","platform/public/content/chapters/clean-code.html","solid|padroes","nomes-que-contam-a-historia-sozinhos|funcoes-pequenas-fazendo-uma-coisa-so|refatoracao-mudando-a-estrutura-sem-mudar-o-comportamento","963","1","1","0","2","approved","false","true","true","aprovado",""
"projetospring","Projeto final — mini-framework pré-Spring","application-design","70","legacy-html-generated-metadata","platform/public/content/chapters/projetospring.html","anotacoes|di|padroes|clean-code","projeto-final-mini-framework-pre-spring","789","1","1","1","2","approved","false","true","true","aprovado",""
"http","HTTP & APIs REST","http-api-clients","53","legacy-html-generated-metadata","platform/public/content/chapters/http.html","testes|json","metodos-http-e-o-que-cada-um-significa|codigos-de-status-o-vocabulario-de-uma-resposta-http|anatomia-de-uma-requisicao-e-resposta|rest-recursos-nao-acoes|cliente-http-em-java-puro","879","1","1","0","2","approved","false","true","true","aprovado",""
"sql","SQL — fundamentos de banco relacional","relational-data-jdbc","58","legacy-html-generated-metadata","platform/public/content/chapters/sql.html","colecoes","criando-tabelas-ddl-data-definition-language|crud-em-sql-insert-select-update-delete|join-combinando-tabelas-relacionadas|agregacoes-group-by-count-sum-avg|transacoes-tudo-ou-nada|indices-por-que-consultas-ficam-rapidas-ou-lentas","1946","2","1","0","2","approved","false","true","true","aprovado",""
"postgres","PostgreSQL na prática","relational-data-jdbc","59","legacy-html-generated-metadata","platform/public/content/chapters/postgres.html","sql","tipos-de-dados-que-voce-vai-usar-o-tempo-todo|explain-enxergando-o-que-o-banco-realmente-faz|conectando-do-java-via-jdbc-revisao-aplicada","998","1","1","0","2","approved","false","true","true","aprovado",""
"postgres-concorrencia","PostgreSQL avançado: planos, MVCC, isolamento e locks","relational-data-jdbc","60","legacy-html-generated-metadata","platform/public/content/chapters/postgres-concorrencia.html","postgres|sql","vocabulario-antes-da-disputa|modelagem-e-constraints-primeiro|mvcc-e-niveis-de-isolamento|planos-de-execucao","787","1","1","0","2","approved","false","true","true","aprovado",""
"migrations","Migrations — versionando o schema","relational-data-jdbc","61","legacy-html-generated-metadata","platform/public/content/chapters/migrations.html","postgres|git","flyway-convencao-de-nomes-que-vira-ordem-de-execucao|flyway-com-spring-boot-quase-zero-configuracao","768","1","1","0","2","approved","false","true","true","aprovado",""
