chapterId,title,module,prerequisites,baseline,contentSource,requiredTopics,coveredTopics,examples,runnableExamples,exercises,diagnostics,projects,primarySources,factualReview,pedagogicalReview,finalStatus
"terminal-shell-fundamentos","Terminal e shell — antes de instalar qualquer coisa","orientation","","java21-springboot35","legacy-html","13","13","10","0","1","1","0","2","done","done","editorial-review-complete"
"intro","Introdução & ambiente","orientation","","java21-springboot35","legacy-html","0","0","2","0","1","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"primeiro-programa","Primeiro programa: escrever, compilar e executar","orientation","intro","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"variaveis-tipos","Variáveis, tipos, memória e conversões","programming-fundamentals","primeiro-programa","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"operadores-expressoes","Operadores, expressões e precedência","programming-fundamentals","variaveis-tipos","java21-springboot35","legacy-html","0","0","2","0","1","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"controle-fluxo","Decisões: if, else e switch","programming-fundamentals","operadores-expressoes","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"lacos-repeticao","Repetição: while, for e controle de laços","programming-fundamentals","controle-fluxo","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"arrays-matrizes","Arrays, matrizes e raciocínio por índice","programming-fundamentals","lacos-repeticao","java21-springboot35","legacy-html","0","0","2","0","1","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"strings-wrapper","String, imutabilidade e classes wrapper","programming-fundamentals","arrays-matrizes","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"metodos-escopo","Métodos, parâmetros, retorno e escopo","programming-fundamentals","strings-wrapper","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"entrada-console","Entrada pelo console, parsing e validação","programming-fundamentals","metodos-escopo","java21-springboot35","legacy-html","0","0","5","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"logica-programacao","Lógica de Programação & Pensamento Algorítmico","programming-fundamentals","metodos-escopo","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mini-caixa-eletronico","Mini-projeto: caixa eletrônico no terminal","programming-fundamentals","entrada-console|logica-programacao","java21-springboot35","legacy-html","0","0","0","0","0","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"classes","Classes e objetos","oop-modeling","mini-caixa-eletronico","java21-springboot35","legacy-html","0","0","2","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"atributos","Atributos e métodos","oop-modeling","classes","java21-springboot35","legacy-html","0","0","3","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"construtores","Construtores","oop-modeling","atributos","java21-springboot35","legacy-html","0","0","3","0","2","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
